genus,family,trophic_guilds,trophic_guild_primary,qa_has_answer,qa_answer,qa_best_collection,qa_source_docids,n_docs_retrieved,interaction_sentences,n_interaction_sentences,biotxplorer_partners,biotxplorer_max_score
Absolonia,Onychiuridae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet of *Absolonia* species. The texts discuss aspects such as troglomorphy, geographic distribution, and ecological tolerance but do not mention feeding habits . Further research would be needed to determine their dietary preferences.",pmc,10.5852/ejt.2023.879.2161(pmc)|PMC6961878(pmc)|PMC6811635(pmc),3,,0,,
Agrenia,Isotomidae,omnivore|algivore|bacterivore|herbivore|predator,omnivore,True,"Based on the provided documents, Agrenia bidenticulata feeds on a biofilm containing terrestrial diatoms, which are rich in proteins . This biofilm is formed on moist surfaces of sand and silt through the activity of diatoms and other microorganisms . Additionally, Agrenia is described as a bryophile species, indicating it may also feed on mosses .",pmc,PMC3788365(pmc)|PMC7240498(pmc),2,"Here we present an alternative explanation and a novel glacier foreland food web by showing that pioneer predators eat locally produced midges containing 21,000 years old ancient carbon released by the melting glacier.||Terrestrial spiders, harvestmen and beetles feeding on adult midges had radiocarbon ages of 340–1100 years.||Water beetles assumed to eat midge l",3,,
Allacma,Sminthuridae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet of Allacma species. The sources discuss various aspects such as taxonomy, mitochondrial metabolism, genomic features, and reproductive biology of Allacma, but none mention feeding habits . Further research would be required to determine what Allacma feeds on.",medline,33801126(medline)|11732170(medline)|37650155(medline)|35946560(medline)|19027878(medline),5,,0,,
Anurida,Neanuridae,predator,predator,True,"Based on the provided documents, no specific information regarding the diet of Anurida species is given. The sources focus on morphological characteristics, geographic distribution, and behavioral patterns such as tidal synchronization, rather than dietary preferences . Further research would be needed to determine their feeding habits.",medline,30313303(medline)|34810565(medline)|28311099(medline)|27988783(medline)|41119333(medline),5,"On a marine saltmarsh, the intertidal collembolan Anurida maritima (Guérin) has a well-defined tidal rhythm of activity on the mud surface between submerging tides: a large proportion of the individuals emerge from their underground refuges shortly after the retreat of the tide, forage there for a few hours, and retire underground at least 1 h before the return of the tide.||Three troglobiontic species of Anurida Laboulbène, i.e.||plurichaetotica Yosii, 1966, were found in limestone caves of Korea during recent investigation.||In this paper, we describe two new troglobiont species of Pygmarrhopalites VargovitshP.arbaicus sp.",4,,
Anurophorus,Isotomidae,predator,predator,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Anurophorus* species. The sources discuss taxonomic distinctions and ecological impacts but do not mention what these organisms feed on , . Further research would be needed to determine their dietary preferences.",medline,34186805(medline)|23064850(medline),2,"was collected from the withered leaves of Korean fir (Abies koreana Wilson), which is distributed at higher than 1,300 m in altitude on Mt.||Soil Collembola communities were investigated in spruce forest stands of the High Tatra Mts that had been heavily damaged by a windstorm in November 2004 and subsequently by a wildfire in July 2005.",2,,
Archisotoma,Isotomidae,detritivore,detritivore,True,"Based on the provided documents, there is no direct mention of what Archisotoma feeds on. However, it is noted that some species within the family Isotomidae, including those related to Archisotoma, live in environments where they may feed on particles suspended in water or organic matter found in their habitat . Specific dietary preferences for Archisotoma are not detailed in the given sources.",plazi,54C607EBD713C51CCCD28D742EF12E67(plazi),1,,0,,
Arrhopalites,Arrhopalitidae,unknown,unknown,True,"Based on the provided documents, no specific information is given regarding the diet or feeding habits of Arrhopalites. The sources focus on taxonomic classifications, morphological characteristics, and synonyms within the family Arrhopalitidae, but do not address ecological or dietary preferences .",plazi,BA7487DEEF7AFFBCFF2843F7FC160DDF(plazi)|03CC78534877FFD9FF65FB43FCDE9D8A(plazi)|1E61975CFFE80A6FFF0EFF5AD8922839(plazi)|BA7487DEEF6DFFAAFF284200FB3109C5(plazi)|A279003C5311545D935AD7252ADECBD9(plazi),5,,0,,
Ballistura,Isotomidae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of Ballistura species. The sources describe morphological characteristics, distribution, and taxonomic revisions of various Ballistura species but do not mention their food sources , . Further research would be needed to determine what Ballistura feeds on.",medline,22371662(medline)|40471313(medline),2,,0,,
Bilobella,Neanuridae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Bilobella*. The sources describe morphological characteristics and taxonomic details rather than ecological preferences . Further research would be needed to determine the feeding behavior of this species.",plazi,FE4387E3FF96FFC4FF1DF9C1FCE0FCE7(plazi)|03D46157FFAEFFBAFF58F9C6FDF1FE07(plazi)|03BE2A4AFFA2FFEC51A97C0EFB33FD59(plazi)|03E8878C3C01735ED89DFD17FA35FA6E(plazi),4,"1 Three chaetae on tubercle De of th.||2
- Four chaetae on tubercle De of th.",2,,
Bourletiella,Bourletiellidae,predator|detritivore,predator,True,"Based on the provided documents, Bourletiella species are mentioned in the context of being collected from leaf litter and soil surfaces, indicating they are detritivores that feed on organic matter such as decaying plant material. However, specific dietary preferences or feeding habits of Bourletiella are not detailed in the sources .",medline,16883824(medline)|20146862(medline),2,"[Effects of transgenic Bt cry1Ab rice on collembolan population in paddy field]..||To assess the potential ecological risk of transgenic Bt rice to non-target soil organisms in paddy field, transgenic crylAb rice KMD1 and KMD2 and their parental control rice line XS11 were planted in experimental fields, and collembolan species and their densities were investigated during grain-filling and post-harvest stages in 2003 to approximately 2004.||By using an arthropod-sucking machine, two collembolan species, Entomobrya griseoolivata and Bourletiella christianseni, were collected from the leaf litter at soil surface during grain-filling stage (September,2003), and the population densities of E.||Effects of transgenic rice expressing Bacillus thuringiensis Cry1Ab protein on ground-dwelling collembolan community in postharvest seasons..||During 2005-2008, field studies were conducted at two locations in Chongqing, China, to assess the potential effects of transgenic rice expressing Bacillus thuringiensis (Bt) Cry1Ab protein on the nontarget ground-dwelling collembolan community in three postharvest seasons.||Ground-dwelling collembolans in rice fields during the postharvest seasons were abundant, whereas community densities varied considerably betw",6,,
Brachystomella,Brachystomellidae,fungivore|detritivore,fungivore,True,"Based on the provided documents, Brachystomella feeds on fungal structures, specifically the reproductive tissues of fruiting bodies, as evidenced by examples of mammalian mycophagy where Brachystomella sp. consumes spores and other fungal parts . Additionally, Brachystomella parvula is noted to be closely related to hypogeous fungi, suggesting a potential diet involving decomposing organic matter associated with these fungi .",pmc,PMC9402283(pmc)|PMC10603697(pmc),2,"The consumption of fungi by animals is a significant trophic interaction in most terrestrial ecosystems, yet the role mammals play in these associations has been incompletely studied.||In this review, we compile 1 154 references published over the last 146 years and provide the first comprehensive global review of mammal species known to eat fungi (508 species in 15 orders).||We review experimental studies that found viable fungal inoculum in the scats of at least 40 mammal species, including spores from at least 58 mycorrhizal fungal species that remained viable after ingestion by mammals.||We provide a summary of mammal behaviours relating to the consumption of fungi, the nutritional importance of fung",4,,
Ceratophysella,Hypogastruridae,unknown,unknown,True,"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Ceratophysella* species. The sources describe morphological characteristics and taxonomic classifications but do not mention dietary preferences . Further research would be needed to determine their ecological niche and food sources.",plazi,4A35CE6DC41F232AFF4CD911FD43BDEC(plazi)|985F87902F41FFDA97BEFB36DC663756(plazi)|03B287DDFFF7FD65F582FF3C8FEF5FC3(plazi)|410342EDEDA74FFD71A533CEBE469C59(plazi)|C9D7B5A3B6663848A5EC5E3E133E78AE(plazi),5,communis on fresh material from the type locality (Tokyo).,1,,
Choreutinula,Hypogastruridae,unknown,unknown,True,"Based on the provided documents, there is no explicit mention of the feeding habits of *Choreutinula*. The texts describe morphological features and taxonomic relationships but do not provide information about diet or feeding behavior . Further research would be needed to determine what *Choreutinula* feeds on.",plazi,01F371214B9120BA67A5A8AF07FB046E(plazi)|18944DB37B50E010A48EF7BB730BAFD6(plazi)|4F034B6EFFBE3573D916FAED3C8FFA65(plazi),3,,0,,
Cribrochiurus,Onychiuridae,unknown,unknown,False,,,,0,,0,,
Cryptopygus,Isotomidae,omnivore|algivore|fungivore|bacterivore|predator|detritivore,omnivore,True,"Based on the provided documents, Cryptopygus is part of the Collembola group, which feeds on a wide variety of resources such as leaf litter, fungi, bacteria, roots, and algae . Specifically, the document mentions that Collembola, including species like Cryptopygus, play significant roles in soil ecosystems by regulating microbial biomass and influencing soil nutrient cycling . However, no direct dietary preferences for Cryptopygus itself are explicitly stated in the given texts.",pmc,PMC12547479(pmc),1,,0,,
